fov,volume,center_x,center_y,min_x,max_x,min_y,max_y
34872120390903230232457063888424149361,0,1101.28,165.689,4347.52,159.09,4339.68,172.288,4355.36
78824567290392583759149174270788785195,0,445.436,161.909,4319.22,157.254,4315.38,166.564,4323.07
78912778139286602007597933545624587149,0,409.057,161.693,4251.35,157.362,4246.15,166.024,4256.54
79348300038704795909383410217324322859,0,1702.84,174.383,4374.47,165.894,4364.2,182.872,4384.74
110883424764611924400221639916314253469,0,432.141,156.563,4271.33,151.53,4264.62,161.596,4278.03
135188247894899244046039873973964001182,0,1351.8,156.509,4256.96,148.29,4247.66,164.728,4266.26
164766962839370328502017156371562646881,0,1080.65,159.965,4228.18,152.178,4220.56,167.752,4235.81
165747897693809971960756442245389760838,0,1652,167.579,4323.87,158.226,4314.19,176.932,4333.55
260943245639750847364278545493286724628,0,1343.38,160.559,4308.8,152.394,4301.23,168.724,4316.37
332515239482476129412625869567854153692,0,960.214,160.613,4296.11,154.446,4289.03,166.78,4303.2
112315799428971059837534848038041808853,11,1454.6,353.811,2742.56,345.754,2733.31,361.868,2751.8
210195037023346762590879722650371700064,11,1586.98,366.555,2724.74,358.606,2716.03,374.504,2733.44
225678205628489765024995115598818613245,11,1567.74,349.653,2762.59,340.354,2754.91,358.952,2770.27
226970627149036985512064404522770557414,11,1475.14,341.229,2780.95,332.362,2772.41,350.096,2789.49
